song_pop,artist,song
20,Fat White Family , Feet
19,Lizzo , Tempo (feat Missy Elliott)
18,Mark Ronson , Late Night Feelings (feat Lykke Li)
17,Normani , Motivation
16,AJ Tracey , Ladbroke Grove
15,Lana Del Rey , The Greatest
14,Stormzy , Vossi Bop
13,Dave , Black
12,Big Thief , Not
11,Rosalía and J Balvin , Con Altura
10,Georgia , About Work the Dancefloor
9,Clairo , Bags
8,Richard Dawson , Jogging
7,Vampire Weekend , Harmony Hall
6,FKA twigs , Cellophane
5,Lizzo , Juice
4,Billie Eilish , Bad Guy
3,Charli XCX , Gone (feat Christine and the Queens)
2,Sharon Van Etten , Seventeen
1,Lil Nas X , Old Town Road (remix feat Billy Ray Cyrus)
